district,totalvisitors,Population,PoptoTouRatio
Adilabad,775901,708972,109.44
Bhadradri Kothagudem ,12817737,1069261,1198.75
Hyderabad,14121662,3943323,358.12
Jagtial ,3086115,985417,313.18
Jangaon ,328890,566376,58.07
Jayashankar Bhoopalpally,662575,416763,158.98
Jogulamba Gadwal ,2008290,609990,329.23
Kamareddy ,534,972625,0.05
Karimnagar ,77491,1005711,7.71
Khammam,1413440,1401639,100.84
Komaram Bheem Asifabad,19189,515812,3.72
Mahabubabad ,152885,774549,19.74
Mahbubnagar,2535255,919903,275.6
Mancherial,269820,807037,33.43
Medak ,5452570,767428,710.5
Medchal ,0,2440073,0.0
Mulugu,1820375,257744,706.27
Nagarkurnool ,2093511,893308,234.35
Nalgonda,140918,1618416,8.71
Narayanapet,389255,566874,68.67
Nirmal,3816778,709418,538.02
Nizamabad,46334,1571022,2.95
Peddapalli,16581,795332,2.08
Rajanna Sircilla ,16832897,552037,3049.23
Ranga Reddy,0,2446265,0.0
Sangareddy ,4553160,1527628,298.05
Siddipet,2987864,1012065,295.22
Suryapet,0,1099560,0.0
Vikarabad,0,927140,0.0
Wanaparthy ,298639,577758,51.69
Warangal (Rural),353500,718537,49.2
Warangal (Urban),1797680,1080858,166.32
Yadadri Bhongir,4489374,739448,607.13
